,timestamp,stored,actor,verb,object,result
1334,2023-05-09 06:17:53.554000+00:00,2023-05-09T06:17:53.554Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1333,2023-05-09 06:17:53.786000+00:00,2023-05-09T06:17:53.786Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1332,2023-05-09 06:17:55.204000+00:00,2023-05-09T06:17:55.204Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1331,2023-05-09 06:17:55.515000+00:00,2023-05-09T06:17:55.515Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1330,2023-05-09 06:17:56.054000+00:00,2023-05-09T06:17:56.054Z,Tablet102,Placed,Earth,"{""score"":{""raw"":0}}"
1329,2023-05-09 06:17:57.362000+00:00,2023-05-09T06:17:57.362Z,AR4Education,Placed,Earth,"{""score"":{""raw"":0}}"
1328,2023-05-09 06:17:59.176000+00:00,2023-05-09T06:17:59.176Z,Tablet101,Swiped,Left,"{""score"":{""raw"":0}}"
1327,2023-05-09 06:17:59.764000+00:00,2023-05-09T06:17:59.764Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1326,2023-05-09 06:18:00.229000+00:00,2023-05-09T06:18:00.229Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1325,2023-05-09 06:18:00.853000+00:00,2023-05-09T06:18:00.853Z,Iphone101,Swiped,Right,"{""score"":{""raw"":0}}"
1324,2023-05-09 06:18:01.041000+00:00,2023-05-09T06:18:01.041Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1323,2023-05-09 06:18:01.880000+00:00,2023-05-09T06:18:01.880Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1322,2023-05-09 06:18:02.468000+00:00,2023-05-09T06:18:02.468Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1321,2023-05-09 06:18:03.002000+00:00,2023-05-09T06:18:03.002Z,Tablet101,Swiped,Right,"{""score"":{""raw"":0}}"
1320,2023-05-09 06:18:03.033000+00:00,2023-05-09T06:18:03.033Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1319,2023-05-09 06:18:03.318000+00:00,2023-05-09T06:18:03.318Z,Android101,Swiped,Left,"{""score"":{""raw"":0}}"
1318,2023-05-09 06:18:03.378000+00:00,2023-05-09T06:18:03.378Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1317,2023-05-09 06:18:03.513000+00:00,2023-05-09T06:18:03.513Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1316,2023-05-09 06:18:03.618000+00:00,2023-05-09T06:18:03.618Z,Android101,Swiped,Right,"{""score"":{""raw"":0}}"
1315,2023-05-09 06:18:04.371000+00:00,2023-05-09T06:18:04.371Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1314,2023-05-09 06:18:06.268000+00:00,2023-05-09T06:18:06.268Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1313,2023-05-09 06:18:06.562000+00:00,2023-05-09T06:18:06.562Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1312,2023-05-09 06:18:07.573000+00:00,2023-05-09T06:18:07.573Z,Tablet102,Placed,Earth,"{""score"":{""raw"":0}}"
1311,2023-05-09 06:18:09.573000+00:00,2023-05-09T06:18:09.573Z,iPhone102,Placed,Earth,"{""score"":{""raw"":0}}"
1310,2023-05-09 06:18:11.248000+00:00,2023-05-09T06:18:11.248Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1309,2023-05-09 06:18:11.575000+00:00,2023-05-09T06:18:11.575Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1308,2023-05-09 06:18:13.087000+00:00,2023-05-09T06:18:13.087Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1307,2023-05-09 06:18:15.461000+00:00,2023-05-09T06:18:15.461Z,iPad101,Swiped,Left,"{""score"":{""raw"":0}}"
1306,2023-05-09 06:18:16.828000+00:00,2023-05-09T06:18:16.828Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1305,2023-05-09 06:18:23.101000+00:00,2023-05-09T06:18:23.101Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1304,2023-05-09 06:18:23.544000+00:00,2023-05-09T06:18:23.544Z,Tablet101,Swiped,Left,"{""score"":{""raw"":0}}"
1303,2023-05-09 06:18:23.753000+00:00,2023-05-09T06:18:23.753Z,Tablet101,Swiped,Right,"{""score"":{""raw"":0}}"
1302,2023-05-09 06:18:24.521000+00:00,2023-05-09T06:18:24.521Z,Tablet101,Swiped,Left,"{""score"":{""raw"":0}}"
1301,2023-05-09 06:18:24.748000+00:00,2023-05-09T06:18:24.748Z,Tablet101,Swiped,Right,"{""score"":{""raw"":0}}"
1300,2023-05-09 06:18:25.761000+00:00,2023-05-09T06:18:25.761Z,iPad101,Swiped,Left,"{""score"":{""raw"":0}}"
1299,2023-05-09 06:18:28.279000+00:00,2023-05-09T06:18:28.279Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1298,2023-05-09 06:18:32.502000+00:00,2023-05-09T06:18:32.502Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1297,2023-05-09 06:18:34.087000+00:00,2023-05-09T06:18:34.087Z,Tablet102,Placed,Earth,"{""score"":{""raw"":0}}"
1296,2023-05-09 06:18:36.774000+00:00,2023-05-09T06:18:36.774Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1295,2023-05-09 06:18:38.056000+00:00,2023-05-09T06:18:38.056Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1294,2023-05-09 06:18:38.450000+00:00,2023-05-09T06:18:38.450Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1293,2023-05-09 06:18:40.601000+00:00,2023-05-09T06:18:40.601Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1292,2023-05-09 06:18:40.766000+00:00,2023-05-09T06:18:40.766Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1291,2023-05-09 06:18:41.265000+00:00,2023-05-09T06:18:41.265Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1290,2023-05-09 06:18:41.483000+00:00,2023-05-09T06:18:41.483Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1289,2023-05-09 06:18:41.726000+00:00,2023-05-09T06:18:41.726Z,Android101,Swiped,Left,"{""score"":{""raw"":0}}"
1288,2023-05-09 06:18:42.168000+00:00,2023-05-09T06:18:42.168Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1287,2023-05-09 06:18:44.841000+00:00,2023-05-09T06:18:44.841Z,Tablet102,Placed,Earth,"{""score"":{""raw"":0}}"
1286,2023-05-09 06:18:44.945000+00:00,2023-05-09T06:18:44.945Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1285,2023-05-09 06:18:45.560000+00:00,2023-05-09T06:18:45.560Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1284,2023-05-09 06:18:45.915000+00:00,2023-05-09T06:18:45.915Z,Android101,Swiped,Right,"{""score"":{""raw"":0}}"
1283,2023-05-09 06:18:49.846000+00:00,2023-05-09T06:18:49.846Z,Tablet102,Placed,Earth,"{""score"":{""raw"":0}}"
1282,2023-05-09 06:18:51.821000+00:00,2023-05-09T06:18:51.821Z,Tablet101,Swiped,Right,"{""score"":{""raw"":0}}"
1281,2023-05-09 06:18:53.030000+00:00,2023-05-09T06:18:53.030Z,Android101,Placed,Earth,"{""score"":{""raw"":0}}"
1280,2023-05-09 06:18:53.935000+00:00,2023-05-09T06:18:53.935Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1279,2023-05-09 06:18:55.403000+00:00,2023-05-09T06:18:55.403Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1278,2023-05-09 06:18:56.402000+00:00,2023-05-09T06:18:56.402Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1277,2023-05-09 06:18:57+00:00,2023-05-09T06:18:57.000Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1276,2023-05-09 06:18:57.097000+00:00,2023-05-09T06:18:57.097Z,Tablet102,Swiped,Left,"{""score"":{""raw"":0}}"
1275,2023-05-09 06:18:57.646000+00:00,2023-05-09T06:18:57.646Z,Tablet102,Swiped,Left,"{""score"":{""raw"":0}}"
